chrom	source	feature	start	end	score	strand	frame	attributes	Description	Name	Parent	counts
chr1	HAVANA	gene	1785285	1891117	.	-	.	ID=ENSG00000078369.18;gene_id=ENSG00000078369.18;gene_type=protein_coding;gene_name=GNB1;level=1;hgnc_id=HGNC:4396;havana_gene=OTTHUMG00000000940.9	GNB1	ENSG00000078369.18	ENSG00000078369.18	10
chr1	HAVANA	gene	1917590	1919279	.	-	.	ID=ENSG00000178821.13;gene_id=ENSG00000178821.13;gene_type=protein_coding;gene_name=TMEM52;level=2;hgnc_id=HGNC:27916;havana_gene=OTTHUMG00000000944.8	TMEM52	ENSG00000178821.13	ENSG00000178821.13	6
chr1	HAVANA	gene	1921951	2003837	.	-	.	ID=ENSG00000142609.19;gene_id=ENSG00000142609.19;gene_type=protein_coding;gene_name=CFAP74;level=1;hgnc_id=HGNC:29368;havana_gene=OTTHUMG00000000945.17	CFAP74	ENSG00000142609.19	ENSG00000142609.19	11
chr1	HAVANA	gene	2019329	2030758	.	+	.	ID=ENSG00000187730.9;gene_id=ENSG00000187730.9;gene_type=protein_coding;gene_name=GABRD;level=2;hgnc_id=HGNC:4084;havana_gene=OTTHUMG00000041064.6	GABRD	ENSG00000187730.9	ENSG00000187730.9	19
chr1	HAVANA	gene	2050411	2185395	.	+	.	ID=ENSG00000067606.17;gene_id=ENSG00000067606.17;gene_type=protein_coding;gene_name=PRKCZ;level=1;hgnc_id=HGNC:9412;havana_gene=OTTHUMG00000001238.14	PRKCZ	ENSG00000067606.17	ENSG00000067606.17	26
chr1	HAVANA	gene	2184461	2212720	.	-	.	ID=ENSG00000162585.17;gene_id=ENSG00000162585.17;gene_type=protein_coding;gene_name=FAAP20;level=2;hgnc_id=HGNC:26428;havana_gene=OTTHUMG00000001404.8	FAAP20	ENSG00000162585.17	ENSG00000162585.17	15
chr1	HAVANA	gene	2321253	2391707	.	-	.	ID=ENSG00000116151.14;gene_id=ENSG00000116151.14;gene_type=protein_coding;gene_name=MORN1;level=1;hgnc_id=HGNC:25852;tag=overlapping_locus;havana_gene=OTTHUMG00000001402.7	MORN1	ENSG00000116151.14	ENSG00000116151.14	11
chr1	HAVANA	gene	2391775	2405442	.	+	.	ID=ENSG00000157916.20;gene_id=ENSG00000157916.20;gene_type=protein_coding;gene_name=RER1;level=2;hgnc_id=HGNC:30309;havana_gene=OTTHUMG00000001403.6	RER1	ENSG00000157916.20	ENSG00000157916.20	9
chr1	HAVANA	gene	2403964	2413797	.	-	.	ID=ENSG00000157911.11;gene_id=ENSG00000157911.11;gene_type=protein_coding;gene_name=PEX10;level=1;hgnc_id=HGNC:8851;havana_gene=OTTHUMG00000001637.9	PEX10	ENSG00000157911.11	ENSG00000157911.11	9
chr1	HAVANA	gene	2425980	2505532	.	+	.	ID=ENSG00000149527.18;gene_id=ENSG00000149527.18;gene_type=protein_coding;gene_name=PLCH2;level=2;hgnc_id=HGNC:29037;havana_gene=OTTHUMG00000000719.6	PLCH2	ENSG00000149527.18	ENSG00000149527.18	8
chr1	HAVANA	gene	2508537	2526597	.	-	.	ID=ENSG00000157881.16;gene_id=ENSG00000157881.16;gene_type=protein_coding;gene_name=PANK4;level=2;hgnc_id=HGNC:19366;havana_gene=OTTHUMG00000000791.7	PANK4	ENSG00000157881.16	ENSG00000157881.16	12
chr1	HAVANA	gene	2549920	2557031	.	-	.	ID=ENSG00000238164.6;gene_id=ENSG00000238164.6;gene_type=lncRNA;gene_name=TNFRSF14-AS1;level=2;hgnc_id=HGNC:26966;havana_gene=OTTHUMG00000000818.3	TNFRSF14-AS1	ENSG00000238164.6	ENSG00000238164.6	6
chr1	HAVANA	gene	2555639	2565382	.	+	.	ID=ENSG00000157873.18;gene_id=ENSG00000157873.18;gene_type=protein_coding;gene_name=TNFRSF14;level=2;hgnc_id=HGNC:11912;havana_gene=OTTHUMG00000000792.18	TNFRSF14	ENSG00000157873.18	ENSG00000157873.18	16
chr1	HAVANA	gene	2586491	2591469	.	+	.	ID=ENSG00000157870.17;gene_id=ENSG00000157870.17;gene_type=protein_coding;gene_name=PRXL2B;level=2;hgnc_id=HGNC:28390;havana_gene=OTTHUMG00000000847.6	PRXL2B	ENSG00000157870.17	ENSG00000157870.17	15
chr1	HAVANA	gene	2590639	2633016	.	-	.	ID=ENSG00000142606.16;gene_id=ENSG00000142606.16;gene_type=protein_coding;gene_name=MMEL1;level=2;hgnc_id=HGNC:14668;havana_gene=OTTHUMG00000000846.5	MMEL1	ENSG00000142606.16	ENSG00000142606.16	9
chr1	HAVANA	gene	3059615	3068437	.	-	.	ID=ENSG00000177133.12;gene_id=ENSG00000177133.12;gene_type=lncRNA;gene_name=PRDM16-DT;level=2;hgnc_id=HGNC:48664;havana_gene=OTTHUMG00000000563.4	PRDM16-DT	ENSG00000177133.12	ENSG00000177133.12	9
chr1	HAVANA	gene	3069168	3438621	.	+	.	ID=ENSG00000142611.17;gene_id=ENSG00000142611.17;gene_type=protein_coding;gene_name=PRDM16;level=1;hgnc_id=HGNC:14000;tag=ncRNA_host,overlapping_locus;havana_gene=OTTHUMG00000000581.10	PRDM16	ENSG00000142611.17	ENSG00000142611.17	10
chr1	HAVANA	gene	3454665	3481113	.	+	.	ID=ENSG00000130762.15;gene_id=ENSG00000130762.15;gene_type=protein_coding;gene_name=ARHGEF16;level=2;hgnc_id=HGNC:15515;havana_gene=OTTHUMG00000000625.5	ARHGEF16	ENSG00000130762.15	ENSG00000130762.15	7
chr1	HAVANA	gene	3487951	3611508	.	-	.	ID=ENSG00000162591.16;gene_id=ENSG00000162591.16;gene_type=protein_coding;gene_name=MEGF6;level=2;hgnc_id=HGNC:3232;tag=ncRNA_host;havana_gene=OTTHUMG00000000611.8	MEGF6	ENSG00000162591.16	ENSG00000162591.16	7
chr1	HAVANA	gene	3630767	3652761	.	-	.	ID=ENSG00000116213.16;gene_id=ENSG00000116213.16;gene_type=protein_coding;gene_name=WRAP73;level=1;hgnc_id=HGNC:12759;havana_gene=OTTHUMG00000000612.6	WRAP73	ENSG00000116213.16	ENSG00000116213.16	10
chr1	HAVANA	gene	3652516	3736201	.	+	.	ID=ENSG00000078900.15;gene_id=ENSG00000078900.15;gene_type=protein_coding;gene_name=TP73;level=1;hgnc_id=HGNC:12003;havana_gene=OTTHUMG00000000610.7	TP73	ENSG00000078900.15	ENSG00000078900.15	14
chr1	HAVANA	gene	3735511	3747373	.	-	.	ID=ENSG00000227372.12;gene_id=ENSG00000227372.12;gene_type=transcribed_unitary_pseudogene;gene_name=TP73-AS1;level=2;hgnc_id=HGNC:29052;havana_gene=OTTHUMG00000003414.6	TP73-AS1	ENSG00000227372.12	ENSG00000227372.12	29
chr1	HAVANA	gene	3812086	3857396	.	-	.	ID=ENSG00000116198.14;gene_id=ENSG00000116198.14;gene_type=protein_coding;gene_name=CEP104;level=2;hgnc_id=HGNC:24866;havana_gene=OTTHUMG00000003507.6	CEP104	ENSG00000116198.14	ENSG00000116198.14	26
chr1	HAVANA	gene	3857267	3885429	.	+	.	ID=ENSG00000169598.17;gene_id=ENSG00000169598.17;gene_type=protein_coding;gene_name=DFFB;level=2;hgnc_id=HGNC:2773;havana_gene=OTTHUMG00000003525.6	DFFB	ENSG00000169598.17	ENSG00000169598.17	11
chr1	HAVANA	gene	3889125	3900293	.	-	.	ID=ENSG00000198912.12;gene_id=ENSG00000198912.12;gene_type=protein_coding;gene_name=C1orf174;level=2;hgnc_id=HGNC:27915;havana_gene=OTTHUMG00000003739.2	C1orf174	ENSG00000198912.12	ENSG00000198912.12	11
chr1	HAVANA	gene	4412027	4424689	.	+	.	ID=ENSG00000235054.4;gene_id=ENSG00000235054.4;gene_type=lncRNA;gene_name=LINC01777;level=2;hgnc_id=HGNC:52567;havana_gene=OTTHUMG00000000733.13	LINC01777	ENSG00000235054.4	ENSG00000235054.4	13
chr1	HAVANA	gene	4571481	4594016	.	+	.	ID=ENSG00000232596.3;gene_id=ENSG00000232596.3;gene_type=lncRNA;gene_name=LINC01646;level=2;hgnc_id=HGNC:52433;havana_gene=OTTHUMG00000000647.7	LINC01646	ENSG00000232596.3	ENSG00000232596.3	8
chr1	HAVANA	gene	5862811	5992473	.	-	.	ID=ENSG00000131697.18;gene_id=ENSG00000131697.18;gene_type=protein_coding;gene_name=NPHP4;level=2;hgnc_id=HGNC:19104;havana_gene=OTTHUMG00000000701.7	NPHP4	ENSG00000131697.18	ENSG00000131697.18	11
chr1	HAVANA	gene	5990927	6101193	.	+	.	ID=ENSG00000069424.15;gene_id=ENSG00000069424.15;gene_type=protein_coding;gene_name=KCNAB2;level=2;hgnc_id=HGNC:6229;havana_gene=OTTHUMG00000000795.17	KCNAB2	ENSG00000069424.15	ENSG00000069424.15	48
chr1	HAVANA	gene	6101787	6180321	.	-	.	ID=ENSG00000116254.18;gene_id=ENSG00000116254.18;gene_type=protein_coding;gene_name=CHD5;level=2;hgnc_id=HGNC:16816;havana_gene=OTTHUMG00000000952.7	CHD5	ENSG00000116254.18	ENSG00000116254.18	6
chr1	HAVANA	gene	6185020	6209389	.	-	.	ID=ENSG00000116251.11;gene_id=ENSG00000116251.11;gene_type=protein_coding;gene_name=RPL22;level=1;hgnc_id=HGNC:10315;tag=overlapping_locus;havana_gene=OTTHUMG00000193375.2	RPL22	ENSG00000116251.11	ENSG00000116251.11	7
chr1	HAVANA	gene	6205475	6221299	.	+	.	ID=ENSG00000158286.13;gene_id=ENSG00000158286.13;gene_type=protein_coding;gene_name=RNF207;level=2;hgnc_id=HGNC:32947;havana_gene=OTTHUMG00000001089.5	RNF207	ENSG00000158286.13	ENSG00000158286.13	9
chr1	HAVANA	gene	6264269	6393767	.	-	.	ID=ENSG00000097021.20;gene_id=ENSG00000097021.20;gene_type=protein_coding;gene_name=ACOT7;level=2;hgnc_id=HGNC:24157;havana_gene=OTTHUMG00000001295.8	ACOT7	ENSG00000097021.20	ENSG00000097021.20	10
chr1	HAVANA	gene	6412418	6424670	.	-	.	ID=ENSG00000069812.11;gene_id=ENSG00000069812.11;gene_type=protein_coding;gene_name=HES2;level=2;hgnc_id=HGNC:16005;havana_gene=OTTHUMG00000000752.2	HES2	ENSG00000069812.11	ENSG00000069812.11	6
chr1	HAVANA	gene	6424776	6461367	.	+	.	ID=ENSG00000187017.17;gene_id=ENSG00000187017.17;gene_type=protein_coding;gene_name=ESPN;level=2;hgnc_id=HGNC:13281;havana_gene=OTTHUMG00000000753.11	ESPN	ENSG00000187017.17	ENSG00000187017.17	17
chr1	HAVANA	gene	6460786	6466175	.	-	.	ID=ENSG00000215788.11;gene_id=ENSG00000215788.11;gene_type=protein_coding;gene_name=TNFRSF25;level=2;hgnc_id=HGNC:11910;tag=overlapping_locus;havana_gene=OTTHUMG00000000831.9	TNFRSF25	ENSG00000215788.11	ENSG00000215788.11	21
chr1	HAVANA	gene	6467122	6520074	.	-	.	ID=ENSG00000171680.23;gene_id=ENSG00000171680.23;gene_type=protein_coding;gene_name=PLEKHG5;level=2;hgnc_id=HGNC:29105;tag=overlapping_locus;havana_gene=OTTHUMG00000000905.5	PLEKHG5	ENSG00000171680.23	ENSG00000171680.23	29
chr1	HAVANA	gene	6579994	6589280	.	+	.	ID=ENSG00000204859.13;gene_id=ENSG00000204859.13;gene_type=protein_coding;gene_name=ZBTB48;level=2;hgnc_id=HGNC:4930;havana_gene=OTTHUMG00000001438.5	ZBTB48	ENSG00000204859.13	ENSG00000204859.13	8
chr1	HAVANA	gene	6590724	6614607	.	-	.	ID=ENSG00000162413.16;gene_id=ENSG00000162413.16;gene_type=protein_coding;gene_name=KLHL21;level=1;hgnc_id=HGNC:29041;havana_gene=OTTHUMG00000001437.3	KLHL21	ENSG00000162413.16	ENSG00000162413.16	6
chr1	HAVANA	gene	6624866	6635586	.	+	.	ID=ENSG00000041988.15;gene_id=ENSG00000041988.15;gene_type=protein_coding;gene_name=THAP3;level=2;hgnc_id=HGNC:20855;havana_gene=OTTHUMG00000001440.3	THAP3	ENSG00000041988.15	ENSG00000041988.15	8
chr1	HAVANA	gene	6634168	6701924	.	-	.	ID=ENSG00000007923.16;gene_id=ENSG00000007923.16;gene_type=protein_coding;gene_name=DNAJC11;level=2;hgnc_id=HGNC:25570;havana_gene=OTTHUMG00000001443.6	DNAJC11	ENSG00000007923.16	ENSG00000007923.16	11
chr1	HAVANA	gene	6724637	6730012	.	+	.	ID=ENSG00000228750.7;gene_id=ENSG00000228750.7;gene_type=lncRNA;gene_name=LINC01672;level=2;hgnc_id=HGNC:52460;havana_gene=OTTHUMG00000001785.5	LINC01672	ENSG00000228750.7	ENSG00000228750.7	6
chr1	HAVANA	gene	6785454	7769706	.	+	.	ID=ENSG00000171735.19;gene_id=ENSG00000171735.19;gene_type=protein_coding;gene_name=CAMTA1;level=1;hgnc_id=HGNC:18806;tag=ncRNA_host,overlapping_locus;havana_gene=OTTHUMG00000001212.7	CAMTA1	ENSG00000171735.19	ENSG00000171735.19	16
chr1	HAVANA	gene	7784291	7845177	.	+	.	ID=ENSG00000049246.15;gene_id=ENSG00000049246.15;gene_type=protein_coding;gene_name=PER3;level=1;hgnc_id=HGNC:8847;havana_gene=OTTHUMG00000001216.3	PER3	ENSG00000049246.15	ENSG00000049246.15	9
chr1	HAVANA	gene	7954291	7985505	.	+	.	ID=ENSG00000116288.13;gene_id=ENSG00000116288.13;gene_type=protein_coding;gene_name=PARK7;level=1;hgnc_id=HGNC:16369;havana_gene=OTTHUMG00000001210.4	PARK7	ENSG00000116288.13	ENSG00000116288.13	10
chr1	HAVANA	gene	8352397	8848921	.	-	.	ID=ENSG00000142599.19;gene_id=ENSG00000142599.19;gene_type=protein_coding;gene_name=RERE;level=1;hgnc_id=HGNC:9965;tag=ncRNA_host,overlapping_locus;havana_gene=OTTHUMG00000001765.9	RERE	ENSG00000142599.19	ENSG00000142599.19	20
chr1	HAVANA	gene	8861000	8879190	.	-	.	ID=ENSG00000074800.16;gene_id=ENSG00000074800.16;gene_type=protein_coding;gene_name=ENO1;level=2;hgnc_id=HGNC:3350;tag=ncRNA_host,overlapping_locus;havana_gene=OTTHUMG00000001773.11	ENO1	ENSG00000074800.16	ENSG00000074800.16	16
chr1	HAVANA	gene	8945867	8975092	.	+	.	ID=ENSG00000131686.15;gene_id=ENSG00000131686.15;gene_type=protein_coding;gene_name=CA6;level=1;hgnc_id=HGNC:1380;havana_gene=OTTHUMG00000001763.8	CA6	ENSG00000131686.15	ENSG00000131686.15	6
chr1	HAVANA	gene	9035106	9088478	.	-	.	ID=ENSG00000142583.18;gene_id=ENSG00000142583.18;gene_type=protein_coding;gene_name=SLC2A5;level=2;hgnc_id=HGNC:11010;havana_gene=OTTHUMG00000001771.4	SLC2A5	ENSG00000142583.18	ENSG00000142583.18	10
chr1	HAVANA	gene	9182004	9196284	.	+	.	ID=ENSG00000234546.4;gene_id=ENSG00000234546.4;gene_type=lncRNA;gene_name=LNCTAM34A;level=2;hgnc_id=HGNC:52548;havana_gene=OTTHUMG00000001764.8	LNCTAM34A	ENSG00000234546.4	ENSG00000234546.4	6
chr1	HAVANA	gene	9651731	9729114	.	+	.	ID=ENSG00000171608.16;gene_id=ENSG00000171608.16;gene_type=protein_coding;gene_name=PIK3CD;level=2;hgnc_id=HGNC:8977;havana_gene=OTTHUMG00000001450.3	PIK3CD	ENSG00000171608.16	ENSG00000171608.16	8
chr1	HAVANA	gene	9728926	9823984	.	-	.	ID=ENSG00000171603.18;gene_id=ENSG00000171603.18;gene_type=protein_coding;gene_name=CLSTN1;level=2;hgnc_id=HGNC:17447;havana_gene=OTTHUMG00000001451.4	CLSTN1	ENSG00000171603.18	ENSG00000171603.18	6
chr1	HAVANA	gene	10032832	10181239	.	+	.	ID=ENSG00000130939.20;gene_id=ENSG00000130939.20;gene_type=protein_coding;gene_name=UBE4B;level=2;hgnc_id=HGNC:12500;tag=ncRNA_host,overlapping_locus;havana_gene=OTTHUMG00000001797.4	UBE4B	ENSG00000130939.20	ENSG00000130939.20	10
chr1	HAVANA	gene	10210570	10381603	.	+	.	ID=ENSG00000054523.19;gene_id=ENSG00000054523.19;gene_type=protein_coding;gene_name=KIF1B;level=1;hgnc_id=HGNC:16636;tag=ncRNA_host;havana_gene=OTTHUMG00000001817.2	KIF1B	ENSG00000054523.19	ENSG00000054523.19	14
chr1	HAVANA	gene	10398592	10420511	.	+	.	ID=ENSG00000142657.21;gene_id=ENSG00000142657.21;gene_type=protein_coding;gene_name=PGD;level=2;hgnc_id=HGNC:8891;havana_gene=OTTHUMG00000001905.5	PGD	ENSG00000142657.21	ENSG00000142657.21	10
chr1	HAVANA	gene	10636604	10796650	.	-	.	ID=ENSG00000130940.15;gene_id=ENSG00000130940.15;gene_type=protein_coding;gene_name=CASZ1;level=1;hgnc_id=HGNC:26002;havana_gene=OTTHUMG00000002035.6	CASZ1	ENSG00000130940.15	ENSG00000130940.15	9
chr1	HAVANA	gene	11012344	11030528	.	+	.	ID=ENSG00000120948.19;gene_id=ENSG00000120948.19;gene_type=protein_coding;gene_name=TARDBP;level=2;hgnc_id=HGNC:11571;havana_gene=OTTHUMG00000185649.2	TARDBP	ENSG00000120948.19	ENSG00000120948.19	38
chr1	HAVANA	gene	11054584	11060020	.	-	.	ID=ENSG00000116649.10;gene_id=ENSG00000116649.10;gene_type=protein_coding;gene_name=SRM;level=1;hgnc_id=HGNC:11296;havana_gene=OTTHUMG00000002119.4	SRM	ENSG00000116649.10	ENSG00000116649.10	6
chr1	HAVANA	gene	11066618	11099869	.	-	.	ID=ENSG00000171824.14;gene_id=ENSG00000171824.14;gene_type=protein_coding;gene_name=EXOSC10;level=2;hgnc_id=HGNC:9138;havana_gene=OTTHUMG00000002123.3	EXOSC10	ENSG00000171824.14	ENSG00000171824.14	11
chr1	HAVANA	gene	11106535	11262551	.	-	.	ID=ENSG00000198793.13;gene_id=ENSG00000198793.13;gene_type=protein_coding;gene_name=MTOR;level=2;hgnc_id=HGNC:3942;havana_gene=OTTHUMG00000002001.4	MTOR	ENSG00000198793.13	ENSG00000198793.13	7
chr1	HAVANA	gene	11637018	11655785	.	-	.	ID=ENSG00000116661.11;gene_id=ENSG00000116661.11;gene_type=protein_coding;gene_name=FBXO2;level=2;hgnc_id=HGNC:13581;havana_gene=OTTHUMG00000002072.6	FBXO2	ENSG00000116661.11	ENSG00000116661.11	6
chr1	HAVANA	gene	11654375	11663327	.	+	.	ID=ENSG00000132879.14;gene_id=ENSG00000132879.14;gene_type=protein_coding;gene_name=FBXO44;level=2;hgnc_id=HGNC:24847;havana_gene=OTTHUMG00000002071.7	FBXO44	ENSG00000132879.14	ENSG00000132879.14	9
